Message ID [n];Network Time Unacknowledged [us];Network Time Acknowledged [us];Number of Hops [n];RSSI [dB];Source Address [n];Destination Address [n];Group Address [n];Data Size Transmited [Bit]
60507;414177776;0;0;-86;300;bda3;300;2
60403;394830242;0;0;-87;300;bda3;300;2
60141;387819164;0;0;-85;300;bda3;300;2
59869;383622173;0;0;-85;300;bda3;300;2
59461;379901622;0;0;-85;300;bda3;300;2
59105;366049297;0;0;-89;300;bda3;300;2
58776;364938427;0;0;-87;300;bda3;300;2
58498;363752025;0;0;-85;300;bda3;300;2
58177;360887554;0;0;-83;300;bda3;300;2
60507;414173176;0;0;0;a539;0;300;2
60403;394827351;0;0;0;a539;0;300;2
60141;387814289;0;0;0;a539;0;300;2
59869;383618275;0;0;0;a539;0;300;2
59461;379897297;0;0;0;a539;0;300;2
59312;373818379;0;0;0;a539;0;300;2
59105;366046162;0;0;0;a539;0;300;2
58776;364933308;0;0;0;a539;0;300;2
58498;363749165;0;0;0;a539;0;300;2
58177;360883381;0;0;0;a539;0;300;2
62876;503788320;0;0;-87;300;bda3;300;2
62597;492734487;0;0;-88;300;bda3;300;2
62320;490969533;0;0;-88;300;bda3;300;2
62137;490516012;0;0;-88;300;bda3;300;2
61829;478566762;0;0;-88;300;bda3;300;2
61640;467724111;0;0;-86;300;bda3;300;2
61394;466298910;0;0;-86;300;bda3;300;2
60952;464867299;0;0;-87;300;bda3;300;2
60918;456519063;0;0;-87;300;bda3;300;2
63138;505015703;0;0;0;a539;0;300;2
62876;503722795;0;0;0;a539;0;300;2
62597;492728655;0;0;0;a539;0;300;2
62320;490964678;0;0;0;a539;0;300;2
62137;490510759;0;0;0;a539;0;300;2
61829;478561723;0;0;0;a539;0;300;2
61640;467684770;0;0;0;a539;0;300;2
61394;466293779;0;0;0;a539;0;300;2
60952;464862749;0;0;0;a539;0;300;2
60918;456513811;0;0;0;a539;0;300;2
129;594849337;0;0;-86;300;bda3;300;2
65301;583378939;0;0;-87;300;bda3;300;2
129;594844846;0;0;0;a539;0;300;2
65301;583372739;0;0;0;a539;0;300;2
65205;580259763;0;0;0;a539;0;300;2
64870;572812517;0;0;0;a539;0;300;2
64514;565552477;0;0;0;a539;0;300;2
64488;557658403;0;0;0;a539;0;300;2
64126;544479448;0;0;0;a539;0;300;2
63754;543324480;0;0;0;a539;0;300;2
63532;542570512;0;0;0;a539;0;300;2
63359;539663530;0;0;0;a539;0;300;2
65205;580265688;0;0;-87;300;bda3;300;2
64870;572816884;0;0;-87;300;bda3;300;2
64514;565557577;0;0;-88;300;bda3;300;2
64488;557662923;0;0;-87;300;bda3;300;2
64126;544482503;0;0;-87;300;bda3;300;2
63754;543327535;0;0;-88;300;bda3;300;2
63532;542575155;0;0;-88;300;bda3;300;2
63359;539672262;0;0;-86;300;bda3;300;2
2592;680642240;0;0;0;a539;0;300;2
2378;678768216;0;0;0;a539;0;300;2
2196;677250333;0;0;0;a539;0;300;2
1937;675565335;0;0;0;a539;0;300;2
1591;671651273;0;0;0;a539;0;300;2
1421;658643216;0;0;0;a539;0;300;2
1084;658169278;0;0;0;a539;0;300;2
809;657616361;0;0;0;a539;0;300;2
735;639371244;0;0;0;a539;0;300;2
429;635250272;0;0;0;a539;0;300;2
2592;680646731;0;0;-87;300;bda3;300;2
2378;678773409;0;0;-87;300;bda3;300;2
2196;677254244;0;0;-86;300;bda3;300;2
1937;675568636;0;0;-87;300;bda3;300;2
1591;671655581;0;0;-87;300;bda3;300;2
1421;658646365;0;0;-84;300;bda3;300;2
1084;658179629;0;1;-75;300;bda3;300;2
809;657621462;0;0;-87;300;bda3;300;2
735;639376864;0;0;-88;300;bda3;300;2
429;635254000;0;0;-88;300;bda3;300;2
5139;771171206;0;0;-87;300;bda3;300;2
5047;770642489;0;0;-87;300;bda3;300;2
4686;767487185;0;0;-86;300;bda3;300;2
4527;748962679;0;0;-86;300;bda3;300;2
4199;745200869;0;0;-85;300;bda3;300;2
4054;722615573;0;0;-85;300;bda3;300;2
3788;721320803;0;0;-85;300;bda3;300;2
3475;720560763;0;0;-85;300;bda3;300;2
3278;718490756;0;0;-85;300;bda3;300;2
3051;718018008;0;0;-85;300;bda3;300;2
5139;771168302;0;0;0;a539;0;300;2
5047;770638272;0;0;0;a539;0;300;2
4686;767483243;0;0;0;a539;0;300;2
4527;748960172;0;0;0;a539;0;300;2
4199;745198270;0;0;0;a539;0;300;2
4054;722611173;0;0;0;a539;0;300;2
3788;721317350;0;0;0;a539;0;300;2
3475;720557279;0;0;0;a539;0;300;2
3278;718487271;0;0;0;a539;0;300;2
3051;718013211;0;0;0;a539;0;300;2
7914;859653960;0;0;0;a539;0;300;2
7485;854764932;0;0;-87;300;bda3;300;2
7204;846155129;0;0;-86;300;bda3;300;2
7123;834838710;0;0;-85;300;bda3;300;2
6773;832714962;0;0;-86;300;bda3;300;2
6439;831884578;0;0;-84;300;bda3;300;2
6278;816317012;0;0;-86;300;bda3;300;2
5973;815970333;0;0;-86;300;bda3;300;2
5745;813914913;0;0;-86;300;bda3;300;2
5533;813221401;0;0;-86;300;bda3;300;2
7485;854760039;0;0;0;a539;0;300;2
7204;846093963;0;0;0;a539;0;300;2
7123;834834083;0;0;0;a539;0;300;2
6773;832711219;0;0;0;a539;0;300;2
6439;831880164;0;0;0;a539;0;300;2
6278;816311195;0;0;0;a539;0;300;2
5973;815966102;0;0;0;a539;0;300;2
5745;813882057;0;0;0;a539;0;300;2
5533;813216163;0;0;0;a539;0;300;2
10447;945945482;0;0;-86;300;bda3;300;2
10155;941831529;0;0;-86;300;bda3;300;2
9744;931997514;0;0;-87;300;bda3;300;2
9655;928903001;0;0;-87;300;bda3;300;2
9259;925684465;0;0;-87;300;bda3;300;2
9075;921809221;0;0;-88;300;bda3;300;2
8844;912441758;0;0;-85;300;bda3;300;2
8519;912100511;0;0;-86;300;bda3;300;2
8422;904510301;0;0;-86;300;bda3;300;2
8108;902050332;0;0;-86;300;bda3;300;2
10447;945940336;0;0;0;a539;0;300;2
10155;941803312;0;0;0;a539;0;300;2
9744;931993376;0;0;0;a539;0;300;2
9655;928899260;0;0;0;a539;0;300;2
9259;925678435;0;0;0;a539;0;300;2
9075;921805388;0;0;0;a539;0;300;2
8844;912431364;0;0;0;a539;0;300;2
8519;912096281;0;0;0;a539;0;300;2
8422;904505339;0;0;0;a539;0;300;2
8108;902045623;0;0;0;a539;0;300;2
12874;1044704097;0;0;-86;300;bda3;300;2
12644;1044007167;0;0;-87;300;bda3;300;2
12398;1033635672;0;0;-86;300;bda3;300;2
12128;1026606345;0;0;-86;300;bda3;300;2
11968;1017552389;0;0;-86;300;bda3;300;2
11701;1014941824;0;0;-86;300;bda3;300;2
11503;1012043753;0;0;-86;300;bda3;300;2
11082;1000931723;0;0;-87;300;bda3;300;2
10944;995204916;0;0;-86;300;bda3;300;2
10702;987914969;0;0;-87;300;bda3;300;2
